storyid,legacysheet,titleC,titleE,target,levelC,levelE,author,originalAuthor,editor,cantoneseTeam,artist,synopsisC,synopsisE,keywords,isbn,attribution
00014,00014-f-code.csv,我靚唔靚？,Am I pretty?,細路 Child,HBL Lv1,CEFR A1,葉俊延,,Miss Cindy,"葉俊延, Miss Cindy, Summer Mut, PC Chan",爽,蟲仔覺得自己唔靚，噉佢應該點做呢？,"Caterpillar wants to be beautiful, what should he do? ","自信丶認識自己丶動物 Self-confidence, Self-awareness, Animals",,"“Am I Pretty?” (Cantonese), written by 葉俊延, illustrated by Song, published by HamBaangLaang (© HamBaangLaang, 2020) under a CC BY 4.0 license on hambaanglaang.hk This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00015,00015-f-code.csv,燒傷,First Aid-Burn,,HBL Lv4,,,,,"Cheung Tak Ying, T. T. CHEUNG, Connie, Michelle (voice artist)",Szeto Wing Yan,,,,,
00016,00016-f-code.csv,妮妮同哥哥去主題樂園玩,Ups and Downs,細路 Child,HBL Lv4,CEFR A1,Miss Cindy,,Miss Cindy,"Miss Cindy (作者 Author), Summer Mut, Joanne",Swmman,兩兄妹喺主題樂園玩嘅時光。,A day at the theme park to remember.,"家人丶相聚丶原諒 Family, Togetherness, Forgiveness",978-988-75805-5-3,"“Ups and Downs” (Cantonese), written by Miss Cindy, illustrated by Swmman, published by HamBaangLaang (© HamBaangLaang, 2020) under a CC BY 4.0 license on hambaanglaang.hk This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00017,00017-f-code.csv,哽塞,First Aid-Choking,,HBL Lv4,,"Cheung Tak Ying, T. T. CHEUNG",,,"Cheung Tak Ying, T. T. CHEUNG, Connie",Szeto Wing Yan,,,,,
00018,,夜唔夜？,NIGHT,大人 Adults,,,Tai On,,,Erin,Eunice WIK,,,,,
00019,00019-f-code.csv,九龍,Kowloon,細路 Child,HBL Lv3,CEFR A1,Viveik,, Grace, Grace,FEIfr,究竟龍媽媽可唔可以安全噉帶啲月餅返屋企呢？,Will mother dragon make it back home safely with the mooncakes ?,"親情、幫助別人、傳統節日 Parenting, Good Neighbours, Festivals",,
00020,00020-f-code.csv,骨折,First Aid-Fracture,,HBL Lv4,,,,,"Cheung Tak Ying, T. T. CHEUNG",Szeto Wing Yan,,,,,
00021,00021-f-code-print.csv,恐龍樂園,there were dinosaurs,細路 Child,HBL Lv3,CEFR A2,Gaaupper,,,"Gaaupper, Joanne Chu, 美瑩",Kiu Cho,,What will the Child and Dinosaur learn during their warm friendship ?,"Friendship, environment, Childhood",,"“恐龍樂園 A Gentler Life”, written by Gaaupper, illustrated by Kiu Cho, published by HamBaangLaang (© HamBaangLaang, 2020) under a CC BY 4.0 license on hambaanglaang.hk This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00022,00022-f-code.csv,頭部受傷,First Aid-Head Injury,,HBL Lv4,,"Cheung Tak Ying, T. T. CHEUNG",,,"Cheung Tak Ying, T. T. CHEUNG, Connie",Szeto Wing Yan,,,,,
00023,00023-f-code.csv,同公公婆婆食飯,meal with grandparents,,HBL Lv2,,Louis Tam,,,,swmman,,,,,
00024,00024-f-code.csv,問路,A day with Mom,細路 Child,HBL Lv2,CEFR 1,Benson Tong,,,"Benson Tong, Summer Mut",Kenneth,,How to get from A to B ? ,"Travel, Directions, Community",,
00025,00025-f-code-print.csv,食橙,I am orange,細路 Child,HBL Lv2,CEFR A2,Leung Wing Lam,,,"Leung Wing Lam, Summer Mut, PC Chan",Mel Wong,我鍾意食橙，因為橙對我嚟講有好重要嘅意義。,"In a hectic busy world, do we sometimes forget about the most important people in our lives ?","懷念丶家人丶抱負 Nostalgia, Family, Ambition",978-988-75803-1-7,"“From Mother’s Hand ” (Cantonese), written by Leung Wing Lam, illustrated by Mel Wong, published by HamBaangLaang (© HamBaangLaang, 2020) under a CC BY 4.0 license on hambaanglaang.hk This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00026,00026-f-code.csv,盒,Box,細路 Child,HBL Lv1,CEFR A1,Raymond,,Miss Cindy,"Raymond Tse, Miss Cindy, Grace, Charles",Kenneth Tsui,話畀你知我個盒入面有啲咩啦！,Let me tell you what’s inside my box.,"童年，興趣，交通公具 Childhood, Public Transport, Hobbies",978-988-75805-0-8,"“The Box” (Cantonese), written by Raymond, illustrated by Kenneth Tsui, published by HamBaangLaang (© HamBaangLaang, 2020) under a CC BY 4.0 license on hambaanglaang.hk This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA"
00027,00027-f-code.csv,冇反應冇呼吸,First Aid-Unresponsive No Breathing,,HBL Lv4,,"Cheung Tak Ying, T. T. CHEUNG",,,"Cheung Tak Ying, T. T. CHEUNG, Connie",Szeto Wing Yan,,,,,
00028,00028-f-code-video.csv,生日,,大人 Adults,HBL Lv3,,葉俊延,,,盤仔與小豆 (Cantonese recording),,,,,,"“Happy Birthday” (Cantonese), written by 葉俊延,published by HamBaangLaang (© HamBaangLaang, 2021) under a CC BY 4.0 license on hambaanglaang.hk "
00029,00029-f-code.csv,明仔,,,HBL Lv2,,Dolce Joy,,,,Kenneth Tsui ,,,,,
00030,00030-f-code.csv,巴士有個人跌咗落嚟,,大人 Adults,HBL Lv2,,Heitung Lau,,,,Eunice WIK (cover design),,,,,"“Someone Falling Off From A Bus” (Cantonese), written by Heitung Lau, design by Eunice WIK, published by HamBaangLaang (© HamBaangLaang, 2020) under a CC BY 4.0 license on hambaanglaang.hk"
00031,00031-f-code.csv,冇反應有呼吸,First Aid-Unresponsive with Breathing,,HBL Lv4,,"Cheung Tak Ying, T. T. CHEUNG",,,"Cheung Tak Ying, T. T. CHEUNG, Connie",Szeto Wing Yan,,,,,
00032,00032-f-code.csv,寫畀Joanna嘅情信,,大人 Adults,HBL Lv2,,Dolce Joy,,,Charles （Cantonese recording）,Joanne Chu(cover design),,,,,"“Letter to Joanna” (Cantonese), written by Dolce Joy, published by HamBaangLaang (© HamBaangLaang, 2021) under a CC BY 4.0 license on hambaanglaang.hk "
00033,00033-f-code.csv,屋企人,,teens,HBL Lv2,,葉俊延,,,,Eunice WIK (cover design),,,,,"“My Family” (Cantonese), written by 葉俊延, design by Eunice WIK, published by HamBaangLaang (© HamBaangLaang, 2020) under a CC BY 4.0 license on hambaanglaang.hk"
00034,00034-f-code.csv,阿樂寫俾恐龍仔嘅信,Goodbye My Friend,細路 Child,HBL Lv1,CEFR 1,Cain Yu,,,"余該隱, Summer Mut, PC Chan",Swmman,阿樂好掛住佢嘅好朋友，所以寫咗封信畀佢。,Will Rex be able to keep little Billy company and be his friend ,"玩具，童年，離別 Toys, Childhood, Goodbyes ",978-988-75806-0-7,"""Goodbye My Friend” (Cantonese), written by 余該隱, illustrated by Swmman, published by HamBaangLaang (© HamBaangLaang, 2020) under a CC BY 4.0 license on hambaanglaang.hk This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00035,00035-f-code.csv,阿樂歷險記,Better Together,細路 Child,HBL Lv2,,Cain Yu,,,"Eunice WIK, Cindy, ",Waiman,,,,,
00036,00036-f-code.csv,鄉愁,homeland,大人 Adults,HBL Lv5,,載蒔,,Kimmy,,米曹,,,,,
