storyid,legacysheet,titleC,titleE,target,levelC,levelE,author,originalAuthor,editor,cantoneseTeam,artist,synopsisC,synopsisE,keywords,isbn,attribution
00115p,00115p-f-code.csv,新雨褸,The New Raincoat,細路 Child,HBL Lv3,CEFR A2, 一郎 Ichirou,,, 一郎 Ichirou,Zainab Tambawalla,究竟幾時先會落雨啊？,The life renewing rains marking the end of a long Indian summer.,"大自然丶天氣丶慶祝Nature, Weather, Celebration",978-988-75801-5-7,"“The New Raincoat” (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) is based on the original story The Red Raincoat (English), written by Kiran Kasturia, illustrated by Zainab Tambawalla, published by Pratham Books (© Pratham Books, 2015) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00116p,00116p-f-code.csv,動物背後嘅故事,Humans and other Animals,細路 Child,HBL Lv4,CEFR A2, 一郎 Ichirou, Bulbul Sharma,, 一郎 Ichirou,Bulbul Sharma,唔知啲動物平時鍾意做咩嘅呢？,We need the animals and they need us. ,"Colors, Nature, Conservation",,
00117p,00117p-f-code.csv,水同雨,Water and Rain,細路 Child,HBL Lv3,CEFR A2, 一郎 Ichirou,,, 一郎 Ichirou,Marleen Visser,知唔知點解水對我哋咁重要？,Why does it rain? Is it the Angels crying?,"水丶科學丶大自然Water, Science, Nature",978-988-75801-1-9,"""Do Angels Cry?"" (Cantonese), translated by HamBaangLaang (2020), based on the original story Rain (English), written by Letta Machoga, illustrated by Marleen Visser, published by African Storybook Initiative (© African Storybook Initiative, 2014) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00118p,00118p-f-code.csv,太大個定太細個？,Am I the right Size ?,細路 Child,HBL Lv2,CEFR A2, 一郎 Ichirou,Lavanya Karthik,, 一郎 Ichirou,Lavanya Karthik,,How will Shanu know what she can and cannot do?,"SibliIngs, Independence, Limits ",,"""Too Big or Too Small?"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020), based on Too Big! Too Small! (English), written by Lavanya Karthik, illustrated by Lavanya Karthik, supported by Parag: A Sir Ratan Tata Trust Initiative, published by Pratham Books (© Pratham Books, 2017) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in"
00119p,00119p-f-code.csv,玩車仔,Playing Toy Car,細路 Child,HBL Lv3,, 一郎 Ichirou,Kanchan Bannerjee,, 一郎 Ichirou,"Kavya Singh, Natasha Mehra
",,,,,
00120p,00120p-f-code.csv,媽咪講故事,Mommy's Stories,細路 Child,HBL Lv4,, 一郎 Ichirou,Kanchan Bannerjee,, 一郎 Ichirou,Harshvardhan Gantha,,,,,
00121p,00121p-f-code.csv,跳上太空,Jump into Space,細路 Child,HBL Lv3,CEFR A2, 一郎 Ichirou,"Sam Wilson, Chenél Ferreira",, 一郎 Ichirou,Thea Nicole de Klerk,究竟係咩發明咁神奇可以令人跳上太空？,Should Ava wait for others to help her or try to help herself ? ," Independence, Risk-taking, Adventure",,
00122p,00122p-f-code.csv,捉伊人,Hide-and-Seek,細路 Child,HBL Lv3,,一郎 Ichirou,Kanchan Bannerjee,,"一郎 Ichirou
","Harshvardhan Gantha
",,,,,
00123p,00123p-f-code.csv,老鼠仔同大山羊,Friendsgip Heals,細路 Child,HBL Lv2,CEFR A2,,,,"一郎 Ichirou, Summer Mut",Try Samphors,老鼠仔想搵大山羊一齊玩，要點做好呢？,Can the young and old be good friends?,"孤獨丶友誼丶鄰居Loneliness, Friendships,Neighbours",978-988-75806-8-3,"""Friendship Heals"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from Rat and Goat (English), translated by Sanjana Khoobchandani, based on original story កណ្តុរនិងពពែ (Khmer), written by Ley Sorya, illustrated by Try Samphors, published by Room to Read (© Room to Read, 2012) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00124p,,養貓仔,Getting a Cat,細路 Child,,,一郎 Ichirou,Ritah Katetemera,,一郎 Ichirou,Marion Drew,,,,,
00125p,00125p-f-code-print.csv,冷線好有用,Strings that bind,細路 Child,HBL Lv5,CEFR A2,一郎 Ichirou,,,"一郎 Ichirou, Summer Mut",Madhumita Srivastava,,How can the red wool break and still be so strong ? ,"創意丶家庭丶經歷Creativity, Family, Experience",,"""Useful String"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from The Little Red String/ उला ख़ास लाल सुता (English-Surjapuri), translated by Yuman Hussain & Team Azad India Foundation, published by Azad India Foundation (© Azad India Foundation, 2020) based on the original story The Little Red String (English), written by Madhumita Srivastava, illustrated by Madhumita Srivastava, published by Pratham Books (© Pratham Books, 2018 under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00126p,00126p-f-code.csv,手,Hands,細路 Child,HBL Lv3,CEFR A2,一郎 Ichirou,,,"一郎 Ichirou, Summer Mut, Connie Li",Suvidha Mistry,十隻手指可以用嚟做啲乜？,Miguel and Gem are home alone and trying to do something great with their hands,"學習丶合作丶日常生活Learning,Working Together, Daily Life",978-988-75806-4-5,"""Greater Together"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from My Fingers, My Hands /मोर उंगलिला ,मोर हाथ (English-Surjapuri), translated by Yuman Hussain & Team Azad India Foundation, published by Azad India Foundation (© Azad India Foundation, 2020) based on the original story मेरी उँगलियाँ मेरे हाथ (Hindi), written by Vinita Krishna, illustrated by Suvidha Mistry, published by Pratham Books (© Pratham Books, 2010)  under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA.
"
00127p,00127p-f-code.csv,手同腳,Arms and Legs,細路 Child,HBL Lv3,CEFR A1,一郎 Ichirou,,,"一郎 Ichirou (作者), Grace Chan, Joanne Chu",Mlungisi Dlamini,手同腳可以做到咩好玩嘅嘢呢？,"The human body, designed to move","友誼丶身體丶運動Friendship,Body, Sports",978-988-75805-9-1,"""Keep on Moving"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from My Body/मोर बदन (English-Surjapuri), translated by Yuman Hussain & Team Azad India Foundation, published by Azad India Foundation (© Azad India Foundation, 2020) based on the original story My Body (English), written by Clare Verbeek, Thembani Dladla, Zanele Buthelezi, illustrated by Mlungisi Dlamini, published by African Storybook Initiative (© African Storybook Initiative, 2007) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00128p,00128p-f-code.csv,彩虹嘅顏色,Colours of Rainbow,細路 Child,HBL Lv2,,一郎 Ichirou,Caren Echesa,,一郎 Ichirou,Jesse Breytenbach,,,,,
00129p,00129p-f-code.csv,我可以做啲咩？,What Can I do?,細路 Child,HBL Lv4,CEFR A2,一郎 Ichirou,,,"一郎 Ichirou (作者 Author), Angie, Joanne Chu",Ajit Narayan,得閒嘅時候有咩可以做呢？,How did I play when I was your age? ,"家人丶玩樂丶成長Family, Play, Growing Up",978-988-75806-1-4,"""When I Was Your Age"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from Should I do something too/मो कुछु कोरूम (English-Surjapuri), translated by Yuman Hussain & Team Azad India Foundation, published by Azad India Foundation (© Azad India Foundation, 2019) based on the original story मैं भी कुछ करूँ (Hindi), written by Pankaj Chaturvedi, illustrated by Ajit Narayan, published by Pratham Books (© Pratham Books, 2006) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00130p,00130p-f-code.csv,聖誕禮物,Christmas Present,細路 Child,HBL Lv3,CEFR A2,一郎 Ichirou, Annie Besant,,一郎 Ichirou,Alicia Souza,噉多份禮物，邊份先係Sam仔嘅聖誕禮物呢？,The long  wait for opening the present on Christmas morning. ," 節日丶給予丶等待Festival,Giving, Waiting",,
00131p,,屋企人,Family Members,細路 Child,HBL Lv2,CEFR A1,一郎 Ichirou,"Arshi Naaz, kuldeep sandhu, Sushila",,一郎 Ichirou,"Rajeev Verma 'Banjara'
",,"Meet my family and tell me about yours.
","Family bonds, growing up, unity ",,
00132p,00132p-f-code.csv,唔好睇小螞蟻,Busy Ant,細路 Child,HBL Lv2,CEFR A2,Gaaupper,Kanchan Bannerjee,Eunice,"Deepa BalsavarGaaupper(粵文作者), Eunice, Connie Li , Summer Mut",Deepa Balsavar,螞蟻雖然細細粒，但原來做到好多嘢？,The lives of ants and their world,"自然丶團隊合作丶習性Nature, teamwork, Habitat",,
00133p,00133p-f-code-print.csv,阿十又發白日夢,Help! My Body is Going Crazy,細路 Child,HBL Lv2,CEFR A2,Gaaupper,,,"Gaaupper, Ming, Summer Mut, Ingrid Li",Hari Kumar Nair,阿十幻想自己嘅身體可以做到好多神奇嘅嘢，究竟係咩呢？,What's happening to Milo’s body？,"幻想丶童年丶身體Imagination, Childhood, Body",,"""Help! My Body is Going Crazy"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from What if? (English), translated by Riddhi Dudeja, (© Riddhi Dudeja, 2020) from क्या होता अगर? (Hindi), by Hari Kumar Nair based on original story What If? (English), written by Hari Kumar Nair, illustrated by Hari Kumar Nair, published by Pratham Books under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00134p,00134p-f-code-print.csv,唔關我事架,It wasn't me,細路 Child,HBL Lv2,CEFR A2,Lesley Beake,,Eunice,"Gaupper, Kris, Grace Chan, Joanne Chu",Gwendolene van der Merwe,到底係邊個搞到屋企咁亂？,How will Mama know who made the mess ? ,"寵物丶屋企丶意外Pets, Home, Accident",978-988-75804-5-4,"""It Wasn't Me!"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from It Wasn't Me! (English), written by Lesley Beake, illustrated by Gwendolene van der Merwe, published by Book Dash (© Book Dash, 2016) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00135p,00135p-f-code.csv,豬豬飛行日記,Piggy wants to fly,,HBL Lv2,,"Mut Kunthy,Sak Untala",,Eunice,,Youm Kosal,,,,,
00136p,00136p-f-code.csv,咩都鬥一餐,Our Senses,細路 Child,HBL Lv2,CEFR A2,"Madhav Chavan(English), Gaaupper(粵文作者)",,,"Gaaupper, Sunny Lam, Summer Mut",Santosh Pujari,究竟小紅叻啲，定係佢隻狗仔阿細叻啲？,How do our senses help us explore our  world ?,"身體丶動物丶友誼 Our Body,Animals, Friendship",,"""OUR SENSES""(Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from Timmy and Pepe (English), written by Madhav Chavan, illustrated by Santosh Pujari, published by Pratham Books (© Pratham Books, 2004) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in
This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00137p,00137p-f-code.csv,釣魚日記,"My fish! No, my fish!",細路 Child,HBL Lv2,CEFR A2,"Gaaupper (Cantonese), Suraj J Menon",,,"Gaaupper, Summer Mut, Connie",Soumya Menon,究竟阿一同阿二最後釣唔釣到魚？,Are Fish good to eat all year around ?,"自然丶貪心丶友誼Nature, Greed, Friendship",,"""Nobody’s Fish!"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from My fish! No, my fish! (English), written by Suraj J Menon, illustrated by Soumya Menon, published by Pratham Books (© Pratham Books, 2014) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00138p,00138p-f-code.csv,奇幻旅程, from those around me,,HBL Lv3,CEFR A2,Gaaupper,Timiara Gupta,,,Rajiv Eipe,,It take a village to raise a child ,"community, experiences, giving ",,"""My Aunt and I"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from Pishi and Me (English), written by Timira Gupta, illustrated by Rajiv Eipe, published by Pratham Books (© Pratham Books,2018) under a CC BY 4.0 license, first released on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in"
00139p,00139p-f-code-print.csv,小蜜蜂與大笨象,the bee and the elephant,細路 Child,HBL Lv2,CEFR A2,Gaaupper,,,"Gaaupper, Summer Mut, PC Chan",Try Samphos,小蜜蜂唔識返屋企，點算呢？,Can the jungle still be a place for animals to live peacefully? ,"解難丶友誼丶動物 Problem Solving , Friendship, Animals ",,"""The Gift"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from The Bee and the Elephant (English), translated by Celia Bolam, based on original story ឃ្មុំនិងដំរី (Khmer), written by Long Ravy, illustrated by Try Samphos, published by Room to Read (© Room to Read, 2015) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00140p,00140p-f-code.csv,老鼠仔要冒險,Mouse in the house,細路 Child,HBL Lv3,CEFR A1,Gaaupper,Sowmya Rajendran,,,Tanaya Vyas,,Does a mouse belong inside a house ?,"Animal, Family, Fear",,
00141p,00141p-f-code-print.csv,月亮與帽,the moon and the cap,細路 Child,HBL Lv2,CEFR A1,Nana,Rohini Nilekani,,"Nana, Summer Mut, PC Chan, Connie",Angie & Upesh,因為一頂帽而同月亮建立友誼嘅故事。,Why did the wind blow away the cap? ,"童年丶情緒丶分享 Childhood, Emotions, Sharing ",,"""Moon-stuck"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from The Moon and The Cap (English), written by Rohini Nilekani, illustrated by Angie & Upesh, published by Pratham Books (© Pratham Books, 2007) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00142p,00142p-f-code.csv,神秘的魔法石, The Magic Block ,細路 Child,HBL Lv3,CEFR A2,,,,Gaaupper(粵文翻譯),Rohit Karandadi,,What is the mysterious black stone that hides in big Brother’s desk ?,"Science, Imagination, Curiosity",,
00143p,00143p-f-code-print.csv,等你捉到我先喇！,"Snuggles the, Cat!",細路 Child,HBL Lv2,CEFR A1,Gaaupper,Nicola Rijsdijk,,"Gaaupper (作者), Summer Mut, Grace Chan, Connie Li",Karen Lilje Lilje,二筒呢隻貓仔又走咗去邊啊？,Snuggles the Cat is looking for something fun outside the house.,"自然丶朋友丶玩樂 Nature, Friends, Play",978-988-75803-5-5,"""Snuggles the Cat"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from Come back, Cat! (English), written by Nicola Rijsdijk, illustrated by Karen Lilje Lilje, published by Book Dash (© Book Dash, 2014) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00144p,00144p-f-code.csv,好想做，唔想做,Do and Don't,,HBL Lv2,,Gaaupper,Radha HS,,,Ruchi Shah,,,,,
00145p,00145p-f-code-print.csv,過嚟一齊食蛋糕喇！,One Big Cake,細路 Child,HBL Lv2,CEFR A1,,,,"劉銘霏, Summer Mut, Sandy Wong",Meng Sokpheng,阿大整咗個蛋糕，想分畀佢最愛嘅屋企人。,Thank you all for being in my life.,"愛丶感恩丶家庭 Love, Gratitude, Family ",978-988-75805-8-4,"""One Big Sugar Cake"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from One Big Cake (English), written by All Children Reading Cambodia, illustrated by Meng Sokpheng, published by The Asia Foundation (© The Asia Foundation, 2019) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00146p,00146p-f-code.csv,識講嘅狗仔！,Naughty Dog,,HBL Lv2,,Gaaupper,Kanchan Bannerjee,,,Deepa Balsavar,,,,,"""The Naughty Dog"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from Naughty Dog (English), written by Kanchan Bannerjee, illustrated by Deepa Balsavar, published by Pratham Books (© Pratham Books, 2015) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in"
00147p,00147p-f-code-print.csv,伏匿匿,Where is my Yo-yo? ,細路 Child,HBL Lv2,CEFR A1,Gaaupper,Sukhada Rahalkar,,"Gaaupper (作者), Summer Mut, Sandy",Sukhada Rahalkar,心愛嘅玩具匿埋咗，搵唔返啊！,Adults acting like Children!,"家人丶擁有丶分享 Family, Possession, Sharing",978-988-75803-9-3,"""Where Is My Yo-yo?"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from Lost and Found (English), written by Sukhada Rahalkar, illustrated by Sukhada Rahalkar, supported by Parag: A Sir Ratan Tata Trust Initiative, published by Pratham Books (© Pratham Books,2014) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in
This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
00148p,00148p-f-code.csv,我大個仔喇！,I Can Climb!,細路 Child,HBL Lv2,CEFR A1,Gaaupper,Mini Shrinivasan,,,Deval Maniar,,Why is everything so big when you are so small ? ,"Facing fears, Growing up, Learning",,
00149p,00149p-f-code.csv,我嘅老友！,My Friends,,HBL Lv2,,,Rukmini Banerji,,,Rajeev Verma 'Banjara',,,,,
00150p,00150p-f-code-print.csv,唔知邊個幫我出書啊？,Who can help me?,細路 Child,HBL Lv2,CEFR A1,Gaaupper,All children reading cambodia,,"Gaaupper （作者 Author）, Summer Mut, Connie Li, Joanne Chu",El Huyno,一家大細一齊製作圖書嘅愉快經歷。,"When you want to do something, just start.","家人丶合作丶行動Family, Teamwork, Taking Action",978-988-75805-1-5,"""Who Can Help?"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2020) from Who can help me? (English), written by All Children Reading Cambodia, illustrated by El Huyno, published by The Asia Foundation (© The Asia Foundation, 2019) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in "
00151p,00151p-f-code.csv,我隻狗仔係唔同啲嘅！,Tommy and Tingu,,HBL Lv2,,Gaaupper,Kanchan Bannerjee,,,Natasha Mehra,,,,,
00152p,00152p-f-code-book.csv,同我一齊救公主,The Night the Moon Went Missing,細路 Child,HBL Lv4,,Gaaupper,Shreya Yadav,,Shan (Recording),Sunaina Coelho,,,,,"""The Night the Moon Went Missing"" (Cantonese), translated by HamBaangLaang (© HamBaangLaang, 2021) from The Night the Moon Went Missing (English), written by Shreya Yadav, illustrated by Sunaina Coelho, supported by Oracle, published by Pratham Books (© Pratham Books, 2018) under a CC BY 4.0 license on StoryWeaver. Read, create and translate stories for free on www.storyweaver.org.in"
00153p,00153p-f-code-book.csv,親親大自然,Whale in the Sky,細路 Child,HBL Lv4,,"Siddharth Chakravarty (English), Gaaupper (Cantonese)",,,Aquaria Li (Recording),Kaveri Gopalakrishnan,,,,,
00154p,00154p-f-code.csv,屋企大危機,What's that Smell?,細路 Child,HBL Lv4,,,,,"Gaaupper (粵文作者）, Joanne Chu, 美瑩",Tarique Aziz,屋企傳嚟一陣臭味，究竟發生咩事？,,"食物丶感恩丶家庭 Food, Gratitude,Family",,
00155p,00155p-f-code.csv,一年一次剪頭髮,Annual Haircut Day - ONCE AGAIN!,細路 Child,HBL Lv4,,Gaaupper,,,Gaaupper  (作者Author),Angie & Upesh,,,,,
00156p,00156p-f-code.csv,我係一個工程師,When I Grow Up,細路 Child,HBL Lv4,,Gaaupper,,,"Gaaupper (作者Author), Summer Mut",Tarique Aziz,,,,,
00157p,00157p-f-code.csv,我哋係一樣？定係唔一樣？,Same-same or Different?,細路 Child,HBL Lv4,,Gaaupper,,,"Gaaupper (作者Author), Summer Mut, Joanne Chu",Rohit Kelkar,,,,,
00158p,00158p-f-code.csv,犀利婆婆,Ammachi's Incredible investigation,細路 Child,HBL Lv4,,Menah Lam,,,"Menah Lam (作者 Author), Summer Mut, Joanne Chu, 綠柚子",Rajiv Eipe,,,,,
00159p,00159p-f-code.csv,紙船的秘密,Sailing Ships and Sinking Spoons,細路 Child,HBL Lv4,,Menah Lam,,,"Menah Lam (作者 Author), Joanne Chu",Ngawang Dorjee,,,,,
00160p,00160p-f-code-video.csv,俾個密碼嚟睇下,"Password, please?",細路 Child,HBL Lv3,,Gaaupper,,,"Gaaupper (作者Author), Summer Mut, Connie Li, Joanne Chu",Radhika Tipnis,,,Online Security,,
00161p,00161p-f-code-video.csv,我哋之間嘅秘密,The Laddoo Code,細路 Child,HBL Lv3,,Gaaupper,,,"Gaaupper (作者Author), Connie, Summer Mut, Joanne Chu",Saksham Arora,,,友誼 Friendship,,
00162p,00162p-f-code.csv,懶叔叔,Lazy Mama,細路 Child,HBL Lv4,,Jade,,,"Jade (作者Author), Summer Mut, Joanne Chu",Rohit Kelkar,,,"Virtual Reality, Animals, Nature",,
00163p,00163p-f-code.csv,春日飛燕,The Little Bird in the Big Mountains,細路 Child,HBL Lv4,CEFR A2,Menah Lam,,,"Menah Lam (作者 Author), Connie Li, 美瑩",Sonali Zohra,,,"Preservation, Fear, Helping",,
00164p,00164p-f-code.csv,小雲同小吉,The Grand Patch-up,,,,Gaaupper,,,"Gaaupper (作者Author), Joanne Chu, 美瑩, 綠柚子, Philip Wong",Tasneem Amiruddin,,,Friendship,,
00165p,00165p-f-code.csv,海底世界,DIVE!,細路 Child,HBL Lv4,,黃嘉俊,,,"黃嘉俊 (作者Author), Joanne Chu, Philip Wong, Charles Lam",Rajiv Eipe,,,"Diving, Sea Animals, Nature",,
00166p ,,婆婆嚟咗!,Nani's Walk to the Park,細路 Child,HBL Lv3,,Gaaupper,,,"Gaaupper (作者 Author), Joanne Chu, Philip Wong, Pong",Deepa Balsavar,,,,,
00167p,00167p-f-code.csv,數學？難我唔到啦！,Savio Finds the Right Angle,細路 Child,HBL Lv3,,Gaaupper,,,"Gaaupper (作者Author), Joanne Chu, So Chin Pong",Sunaina Coelho,,,,,
00168p,00168p-f-code-print.csv,我讀書唔叻，但我⋯⋯,A Whistlig Good Idea,,,,Gaaupper,,,"Gaaupper (作者Author), Joanne Chu, Pong",Ravi Gupta,,,,,
00169,00169-f-code.csv,揾食,Make Money,teen/adult,HBL Lv4,,939,,,"939 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 殿下在香港 - 香港在世界 (Voice artist)",,,,,,"""Making Money” (Cantonese), written by 939, published by HamBaangLaang (© HamBaangLaang, 2022) under a CC BY 4.0 license on hambaanglaang.hk"
00170,00170-f-code.csv,友善,Kind,大人 Adult,,,939,,,"939 (作者Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, 子豪 （recording artist)",,,,,,
00171p,00171p-f-code.csv,我哋大個喇,Dum Dum-a-Dum Biryani!,細路 Child,HBL Lv3,,Gaaupper,,,"Gaaupper (作者Author), Joanne Chu",Kabini Amin,,,,,
00172p,00172p-f-code.csv,我愛睇書,A Book for Puchku,細路 Child,HBL Lv3,,黃嘉俊,,,"黃嘉俊 (作者Author), Joanne Chu, Lee Dennig",Rajiv Eipe,,,,,
00173,00173-f-code.csv,受傷與康復,HURT & RECOVER,teen/child,HBL Lv7,,939,,,"939 (作者 Author), 張錫莉, Connie Li, Philip Wong, Arthur Edwards, Kit Shum (Voice artist)",,,,,,
00174,00174-f-code.csv,唔怕夜晚黑,,細路 Child,HBL Lv4,,綠柚子,,,"綠柚子 (作者Author), So Chin Pong, Joanne Chu",Anonymous,,,"Family, Courage, Independence",,
00175p,00175p-f-code.csv,心足,Unni' Wish,細路 Child,HBL Lv4,,Gaaupper,,,"Connie Li, Joanne Chu, Philip Wong",Fahad Faizal,,,感恩 Gratitude,,
00176p,00176p-f-code.csv,儲錢大計,The Power of One,細路 Child,HBL Lv3,,黃嘉俊,,,"黃嘉俊 (作者Author), Joanne chu, Philip Wong, Pong",Ujwal Nair,,,,,
00177,00177-f-code.csv,謊言,,細路 Child,HBL Lv4,,涼月,,,"涼月(作者Author), Joanne Chu, Pong, 綠柚子",李詩程,,,,,
00178p,00178p-f-code.csv,鬥氣冤家,The Bone Puzzle,細路 Child,HBL Lv3,,Gaaupper,,,"Gaaupper (作者Author), Joanne Chu, Lai Yik Po, 綠柚子",Rajasee Ray,,,,,
00179p,00179p-f-code.csv,講故人,City of Stories,細路 Child,HBL Lv3,,黃嘉俊,,,"黃嘉俊 (作者Author), Joanne Chu, Philip Wong, Lee Dennig",Bindia Thapar,,,,,
00180p,00180p-f-code.csv,動物全書機,The Magical Glasses,細路 Child,HBL Lv3,,Gaaupper,,,"Gaaupper (作者Author), Joanne Chu, So Chin Pong, 美瑩",Sayan Mukherjee,,,"Endangered animals, Nature",,
00181p,00181p-f-code.csv,一齊嚟幫阿才手,Jadav and the tree place,細路 Child,HBL Lv4,,綠柚子,,,"綠柚子 (作者Author), Joanne Chu",Vinayak Varma,,,,,
00182,00182-f-code.csv,咖啡、奶茶同鴛鴦,"Coffee, Millktea and Yeunyeung",,HBL Lv4,,綠柚子,,,"綠柚子 (作者Author), Joanne Chu",鄭淑雯,,,,,
00183p,00183p-f-code.csv,生果有核,,細路 Child,HBL Lv4,,綠柚子,,,"綠柚子 （作者Author), Joanne Chu, Lai Yik Po",Archana Sreenivasan,,,,,
00184p,00184p-f-code.csv,種子銀行,The Seed Savers,細路 Child,HBL Lv3,,Gaaupper,,,"Gaaupper (作者Author), Joanne Chu, Pong, Philip Wong",Jayesh Sivan,,,,,
