storyid	legacysheet	titleC	titleE	target	levelC	levelE	author	editor1	editor2	artist	synopsisC	synopsisE	keywords	isbn	attribution
00136p	00136p-f-code.csv	咩都鬥一餐	Our Senses												
00137p	00137p-f-code.csv	釣魚日記	My fish! No, my fish!												
00138p	00138p-f-code.csv	奇幻旅程	 from those around me												
00139p	00139p-f-code-print.csv	小蜜蜂與大笨象	the bee and the elephant												
00140p	00140p-f-code.csv	老鼠仔要冒險	Mouse in the house												
00141p	00141p-f-code-print.csv	月亮與帽	the moon and the cap												
00142p	00142p-f-code.csv	神秘的魔法石	 The Magic Block 												
00143p	00143p-f-code-print.csv	等你捉到我先喇！	Snuggles the, Cat!												
00144p	00144p-f-code.csv	好想做，唔想做	Do and Don't												
00145p	00145p-f-code-print.csv	過嚟一齊食蛋糕喇！	One Big Cake												
00146p	00146p-f-code.csv	識講嘅狗仔！	Naughty Dog												
00147p	00147p-f-code-print.csv	伏匿匿	Where is my Yo-yo? 												
00148p	00148p-f-code.csv	我大個仔喇！	I Can Climb!												
00149p	00149p-f-code.csv	我嘅老友！	My Friends												
00150p	00150p-f-code-print.csv	唔知邊個幫我出書啊？	Who can help me?												
00151p	00151p-f-code.csv	我隻狗仔係唔同啲嘅！	Tommy and Tingu												
00152p	00152p-f-code-book.csv	同我一齊救公主	The Night the Moon Went Missing												
00153p	00153p-f-code-book.csv	親親大自然	Whale in the Sky												
00154p	00154p-f-code.csv	屋企大危機	What's that Smell?												
00155p	00155p-f-code.csv	一年一次剪頭髮	Annual Haircut Day - ONCE AGAIN!												
00156p	00156p-f-code.csv	我係一個工程師	When I Grow Up												
00157p	00157p-f-code.csv	我哋係一樣？定係唔一樣？	Same-same or Different?												
00158p	00158p-f-code.csv	犀利婆婆	Ammachi's Incredible investigation												
00159p	00159p-f-code.csv	紙船的秘密	Sailing Ships and Sinking Spoons												
00160p	00160p-f-code-video.csv	俾個密碼嚟睇下	Password, please?												
00161p	00161p-f-code-video.csv	我哋之間嘅秘密	The Laddoo Code												
00162p	00162p-f-code.csv	懶叔叔	Lazy Mama												
00163p	00163p-f-code.csv	春日飛燕	The Little Bird in the Big Mountains												
00164p	00164p-f-code.csv	小雲同小吉	The Grand Patch-up												
00165p	00165p-f-code.csv	海底世界	DIVE!												
00166p 		婆婆嚟咗!	Nani's Walk to the Park												
00167p	00167p-f-code.csv	數學？難我唔到啦！	Savio Finds the Right Angle												
00168p	00168p-f-code-print.csv	我讀書唔叻，但我⋯⋯	A Whistlig Good Idea												
00169	00169-f-code.csv	揾食	Make Money												
00170	00170-f-code.csv	友善	Kind												
00171p	00171p-f-code.csv	我哋大個喇	Dum Dum-a-Dum Biryani!												
00172p	00172p-f-code.csv	我愛睇書	A Book for Puchku												
00173	00173-f-code.csv	受傷與康復	HURT & RECOVER												
00174	00174-f-code.csv	唔怕夜晚黑													
00175p	00175p-f-code.csv	心足	Unni' Wish												
00176p	00176p-f-code.csv	儲錢大計	The Power of One												
00177	00177-f-code.csv	謊言													
00178p	00178p-f-code.csv	鬥氣冤家	The Bone Puzzle												
00179p	00179p-f-code.csv	講故人	City of Stories												
00180p	00180p-f-code.csv	動物全書機	The Magical Glasses												
00181p	00181p-f-code.csv	一齊嚟幫阿才手	Jadav and the tree place												
00182	00182-f-code.csv	咖啡、奶茶同鴛鴦													
00183p	00183p-f-code.csv	生果有核													
