[2]
晚晚,我,都,心思思,，,想,聽,媽咪,講,故事,。
maan5-maan5,ngo5,dou1,sam1-si1-si1,#,soeng2,teng1,maa1-mi4,gong2,gu3-si6,#
every night,I,all,long for something,#,want,to listen,mommy,tell,story,#
[3]
青蛙,諗到,鬼主意,，,打電話,話畀,人,知,。
cing1-waa1,nam2-dou2,gwai2-zyu2-ji3,#,daa2-din6-waa2,waa6-bei2,jan4,zi1,#
frog,think about,wicked idea,#,call on phone,to tell,people,to know,#
[4]
國王,啲,鬚,真係,長,，,老鼠,當,係,遊樂場,。
gwok3-wong4,di1,sou1,zan1-hai6,coeng4,#,lou5-syu2,dong3,hai6,jau4-lok6-coeng4,#
king,those,beard,really,long,#,mouse,consider,is,playground,#
[5]
有時,朝早,打開,窗,，,會,見到,識,飛,大象,。
jau5-si4,ziu1-zou2,daa2-hoi1,coeng1,#,wui5,gin3-dou2,sik1,fei1,daai6-zoeng6,#
sometimes,morning,open,window,#,will,see,know,fly,elephant,#
[6]
老虎,行路唔帶眼,，,唔,小心,跌,咗,落,山,。
lou5-fu2,haang4-lou6-m4-daai3-ngaan5,#,m4,siu2-sam1,dit3,zo2,lok6,saan1,#
tiger,not look where one is going,#,not,careful,fall,-ed,down,hill,#
[7]
好彩,畀,狐狸,救,返,，,老虎,先,唔使,咁,慘,。
hou2-coi2,bei2,wu4-lei2,gau3,faan1,#,lou5-fu2,sin1,m4-sai2,gam3,caam2,#
lucky,by,fox,save,back,#,tiger,so that,no need,that,miserable,#
[8a]
故事,世界,好,得意,，,動物,好多,新奇,事,。
gu3-si6,sai3-gaai3,hou2,dak1-ji3,#,dung6-mat6,hou2-do1,san1-kei4,si6,#
story,world,very,interesting,#,animal,many,novel,thing,#
[8b]
聽,住,媽咪,講,故事,，,我,瞓着,咗,都,唔知,。
teng1,zyu6,maa1-mi4,gong2,gu3-si6,#,ngo5,fan3-zoek6,zo2,dou1,m4-zi1,#
listen,-ing,mommy,tell,story,#,I,fall asleep,-ed,still,don't know,#
